,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
0,1,4,GR,,,7533.0,349.2291086102288,349.2291086102288,0.0
1,1,4,GA,376.3925381182887,,756.0,176.59541072788338,178.92614406816966,132.45999217033386
2,1,4,GA_ppSOE,186.76792335163518,,1348.0,220.54894029013,222.87967363041642,125.75990796089172
3,1,4,IA,251.31950038961887,,169.0,62.73656847239243,65.06730181267875,181.95593905448916
4,1,4,MP,0.06450027857374907,0.002883528353066309,168.0,64.28552857288652,68.94699525345918,1225.2064340114596
5,1,4,MP_ppSOE,0.08161730060755662,-0.001948128616298769,161.0,61.050997877058016,65.71246455763068,1084.6885340213776
6,1,6,GR,,,17875.0,414.9284990749561,414.9284990749561,0.0
7,1,6,GA,729.3932886574828,,655.0,165.69654404651797,168.02727738680431,190.1878159046173
8,1,6,GA_ppSOE,281.5432468459557,,1416.0,224.28920298151738,226.6199363218037,190.4057409763336
9,1,6,IA,408.4986526032639,,241.0,89.70883308352863,92.03956642381495,259.98841214179987
10,1,6,MP,0.03316890223000146,-0.0003071599609029835,193.0,74.82872049501013,79.4901871755828,1286.677623987198
11,1,6,MP_ppSOE,0.07663390579434401,-0.0021194899548656982,222.0,85.46774716053207,90.12921384110471,1128.2017850875854
0,2,4,GR,,,0.0,-inf,-inf,0.0
1,2,4,GA,26.262778971686274,,0.0,-inf,-inf,162.45615506172183
2,2,4,GA_ppSOE,8.309253445654141,,4.0,-221.77736241664948,-219.44662907636314,148.98248815536502
3,2,4,IA,19.820300916371103,,0.0,-inf,-inf,191.9544858932495
4,2,4,MP,0.4964210921941921,0.09450423582897716,0.0,-inf,-inf,1289.1761310100555
5,2,4,MP_ppSOE,0.4973202916998713,0.08167425388026453,0.0,-inf,-inf,1231.0374808311462
6,2,6,GR,,,576.0,147.88917132820382,147.88917132820382,0.0
7,2,6,GA,16.9510691071717,,576.0,155.92844835112655,158.25918169141292,259.31141185760504
8,2,6,GA_ppSOE,16.08260792152781,,620.0,161.52294646921325,163.8536798094996,210.12222599983212
