Record Id	Institute Abbreviation	Randomization Id	Randomization Group	Randomized On	Record Creation Date	debrief_1	debrief_2	debrief_3	debrief_4	EXCLUDE?	debrief_5	debrief_6	debrief_7	debrief_8_1._Ik_wilde_de_totale_hoeveelheid_muntjes_gelijk_verdelen_over_de_investeerder_en_mijzelf._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_2._Ik_wilde_de_hoeveelheid_muntjes_geven_die_de_investeerder_terugverwachtte._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_3._Ik_wilde_zo_veel_mogelijk_van_de_investering_zelf_houden._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_4._Ik_wilde_zo_veel_mogelijk_van_de_investering_terug_geven._Punten_bij_elkaar_opgeteld_precies_100_	otherStrat	otherStratPoints	debrief_8_5._Anders,_namelijk_geef_beschrijving_en_aantal_punten_op_:_Punten_bij_elkaar_opgeteld_precies_100_	debrief_9	debrief_10	debrief_11
110001	DCCN				27-03-17 09:18	Wel goed	Ja	Ja	Niet echt		meeste wel	nee	ik voelde me niet schuldig	40	20	40	0			0	nee	nee	nee
110002	DCCN				27-03-17 13:17	Goed denk ik	Ja	Idee is leuk maar werd wel snel eentonig	ja		Nee	Nee	Ja ik voelde mij een beetje schuldig omdat ik alles voor mezelf wouhouden	0	0	100	0			0	Nee	Nee	Nee
110003	DCCN				27-03-17 15:21	wel goed denk ik, vrij eerlijke verdelingen meestal	ja.	waren goed uit te voeren.	beetje		de meesten wel.	nee	te snelle reactie, waardoor ik te weinig terug gaf.	25	30	20	25			0	niet bewust	nee.	nee.
110004	DCCN				28-03-17 09:31	Goed,het was een interessant onderzoek.	Ja	Ja	Nee		Ik denk het wel	Nee	Doordat ik sommige mensen teleur heb moeten stellen in het verdeelde bedrag.	80	10	2.5	7.5			0	Ja, doordat de hoeveelheid tokens constant veranderde.	Ik moest er iets langer over nadenken.	Nee
110005	DCCN				28-03-17 11:31	Goed	Ja	Ja	Viel wel mee, alleen bij het invullen van de eerste questionaire was er veel hetzelfde.		Ja	Nee	Niet	85	10	5	0			0	Ik begon een snellere manier te bedenken om een eerlijker teruggeefverhouding te berekenen, dus die ben ik gaan volgen.	Nee	Nee
110006	DCCN				29-03-17 09:31	Goed. Af en toe wilde ik het precies berekenen, maar daar was de tijd dan net te krap voor.	Ja, alles is duidelijk omschreven.	Een beetje	Aan het einde wel		Ik denk en hoop het wel	Nee	Nvt.	30	30	30	10				Ik geloof het niet	Nee, ik heb niet gekeken naar wat de ander verwacht/gelooft, maar naar het totaal aantal muntjes dat ik te verdelen had.	Nee.
110007	DCCN				29-03-17 14:47	Goed	Ja	Op zich wel, maar het is wel irritant dat ik steeds heel snel alles moest berekenen.	Ja		Ja	Nee	Nvt	60	40	0	0			0	Ik berekende hoeveel muntjes speler A nog over zou hebben en hoeveel ik er dan weg moest geven om in totaal op hetzelfde aantal uit te komen. Dus strategie 1	Ja	Nee
110008	DCCN				03-04-17 11:14	Vrij goed. Was een leuke taak om te doen. Wel veel rekenen.	Ja	Ja, erg leuk om te doen.	Nee, maar moest wel goed geconcentreerd blijven		Ja redelijk tevreden	nee	Doordat ik minder geld kreeg dan de vermenigvuldigingsfactor die zei dachten, waardoor ik niet zoveel kon geven zonder er zelf wat aan over te houden.	60	25	15	0			0	Alleen tijdens wisselen vermenigvuldigingsfactor	Ja, want x4 levert een minder totaal op dus minder te verdelen	Nee
110009	DCCN				06-04-17 13:02	In het begin was het even wennen, vervolgens ging het vanzelf.	Ja.	Duurde erg lang, waardoor concentratie matig werd.	Ja.		Zeker.	Nee.	Nvt.	30	10	5	15	reciprocity	40	Hoge investering -- meer terug, lage investering -- vrijwel niks terug: 40	Iets meer logica denk ik	Nee.	Nee.
110010	DCCN				07-04-17 12:01	Prima.	Ja	Ja op het begin, maar na een tijdje nogal langdradig doordat het telkens hetzelfde is	Ja. Vooral de tweede helft per keer.		Ja	Nee	Ik voelde me niet schuldig	30	30	5	0			35	Het deel van mijn muntjes teruggeven zodat A wel meer kreeg, maar ik zelf altijd nog net wat meer overhield.	Ja, je moet weer opnieuw gaan redenen wat je gaat doen	Opmerking: Het was irritant dat het balkje dat je moest verschuiven naar links/recht vaak een cijfer oversloeg tot dat je op het goede kwam.
