,record,IA,GA,GR,Altruism,AdvantEquity,DoubleInv,SplitEndow,Return10,Reciprocity,ReturnInv,RiskAssess,sum,normalized
0,110001,40.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1,110002,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2,110003,25.0,30.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
3,110004,80.0,10.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4,110005,85.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
5,110006,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
6,110007,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
7,110008,60.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
8,110009,30.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,0.0
9,110010,46.15384615384615,46.15384615384615,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
10,110011,10.0,20.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
11,110012,40.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
12,110013,75.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100.0,0.0
13,110014,50.0,10.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
14,110015,80.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
15,110016,10.0,0.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0
16,110017,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
17,110018,50.0,30.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
18,110019,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
19,110020,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20,110021,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
21,110022,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
22,110023,16.666666666666668,16.666666666666668,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
23,110024,20.0,20.0,6.666666666666666,53.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
24,110025,50.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,100.0,0.0
25,110026,40.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
26,110027,42.10526315789473,42.10526315789473,10.526315789473683,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,1.0
27,110028,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,100.0,0.0
28,110029,15.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0
29,110030,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
