,study,sub,SVO_score,SVO_prosocial,DGS_score,TG_score
104,2,152,42.118,1,11,42
105,2,153,23.62,1,16,33
106,2,154,42.177,1,17,31
107,2,155,36.696,1,11,38
108,2,156,34.927,1,19,40
109,2,157,22.51,1,22,47
110,2,158,42.06399999999999,1,11,42
111,2,160,35.229,1,31,16
112,2,161,11.622,0,18,50
113,2,162,20.136,0,26,53
114,2,163,36.027,1,8,28
115,2,164,37.868,1,17,29
116,2,165,30.815,1,14,52
117,2,166,24.967,1,16,33
118,2,167,40.742,1,9,36
119,2,168,29.621,1,20,25
120,2,169,31.686,1,14,42
121,2,170,35.916,1,14,37
122,2,171,41.898,1,11,29
123,2,172,36.207,1,19,43
124,2,173,42.111999999999995,1,14,49
125,2,174,42.148999999999994,1,15,65
126,2,175,41.626000000000005,1,18,27
127,2,176,42.925,1,18,42
128,2,177,41.148,1,18,29
129,2,178,40.878,1,14,37
130,2,179,36.836999999999996,1,16,32
131,2,180,14.133,0,21,56
132,2,181,39.741,1,24,69
133,2,183,24.416999999999998,1,19,27
134,2,184,16.96,0,25,41
135,2,185,30.508000000000003,1,18,23
136,2,186,32.808,1,17,49
137,2,187,41.25899999999999,1,14,66
138,2,188,38.123000000000005,1,15,43
139,2,189,31.845,1,18,44
140,2,190,39.424,1,19,65
141,2,191,11.214,0,14,82
142,2,192,38.025999999999996,1,13,62
143,2,193,16.96,0,18,36
144,2,194,42.231,1,22,45
145,2,195,35.417,1,19,53
146,2,196,31.15,1,23,26
147,2,197,29.039,1,15,60
148,2,198,42.067,1,19,48
149,2,199,37.417,1,20,48
150,2,200,40.209,1,19,40
151,2,201,42.231,1,13,39
152,2,202,33.166,1,16,28
153,2,203,16.96,0,17,40
154,2,204,43.033,1,10,33
155,2,205,36.483000000000004,1,16,57
156,2,206,41.607,1,15,36
157,2,207,20.872,0,15,37
158,2,208,29.804000000000002,1,25,48
