,theta,phi,cluster
0,0.0,-0.1,1
1,0.0,-0.098,1
2,0.0,-0.096,1
3,0.0,-0.094,1
4,0.0,-0.092,1
5,0.0,-0.09,1
6,0.0,-0.088,1
7,0.0,-0.086,1
8,0.0,-0.084,1
9,0.0,-0.082,1
10,0.0,-0.08,1
11,0.0,-0.078,1
12,0.0,-0.076,1
13,0.0,-0.074,1
14,0.0,-0.072,1
15,0.0,-0.07,1
16,0.0,-0.068,1
17,0.0,-0.066,1
18,0.0,-0.064,1
19,0.0,-0.062,1
20,0.0,-0.06,1
21,0.0,-0.058,1
22,0.0,-0.056,1
23,0.0,-0.054,1
24,0.0,-0.052,1
25,0.0,-0.05,1
26,0.0,-0.048,1
27,0.0,-0.046,1
28,0.0,-0.044,1
29,0.0,-0.042,1
30,0.0,-0.04,1
31,0.0,-0.038,1
32,0.0,-0.036,1
33,0.0,-0.034,1
34,0.0,-0.032,1
35,0.0,-0.03,1
36,0.0,-0.028,1
37,0.0,-0.026,1
38,0.0,-0.024,1
39,0.0,-0.022,1
40,0.0,-0.02,1
41,0.0,-0.018,1
42,0.0,-0.016,1
43,0.0,-0.014,1
44,0.0,-0.012,1
45,0.0,-0.01,1
46,0.0,-0.008,1
47,0.0,-0.006,1
48,0.0,-0.004,1
49,0.0,-0.002,1
50,0.0,0.0,1
51,0.0,0.002,2
52,0.0,0.004,2
53,0.0,0.006,2
54,0.0,0.008,2
55,0.0,0.01,2
56,0.0,0.012,2
57,0.0,0.014,2
58,0.0,0.016,2
59,0.0,0.018,2
60,0.0,0.02,2
61,0.0,0.022,2
62,0.0,0.024,2
63,0.0,0.026,2
64,0.0,0.028,2
65,0.0,0.03,2
66,0.0,0.032,2
67,0.0,0.034,2
68,0.0,0.036,2
69,0.0,0.038,2
70,0.0,0.04,2
71,0.0,0.042,2
72,0.0,0.044,2
73,0.0,0.046,2
74,0.0,0.048,2
75,0.0,0.05,2
76,0.0,0.052,2
77,0.0,0.054,2
78,0.0,0.056,2
79,0.0,0.058,2
80,0.0,0.06,2
81,0.0,0.062,2
82,0.0,0.064,2
83,0.0,0.066,2
84,0.0,0.068,2
85,0.0,0.07,2
86,0.0,0.072,2
87,0.0,0.074,2
88,0.0,0.076,2
89,0.0,0.078,2
90,0.0,0.08,2
91,0.0,0.082,2
92,0.0,0.084,2
93,0.0,0.086,2
94,0.0,0.088,2
95,0.0,0.09,2
96,0.0,0.092,2
97,0.0,0.094,2
98,0.0,0.096,2
99,0.0,0.098,2
100,0.0,0.1,2
101,0.005,-0.1,1
102,0.005,-0.098,1
103,0.005,-0.096,1
104,0.005,-0.094,1
105,0.005,-0.092,1
106,0.005,-0.09,1
107,0.005,-0.088,1
108,0.005,-0.086,1
109,0.005,-0.084,1
110,0.005,-0.082,1
111,0.005,-0.08,1
112,0.005,-0.078,1
113,0.005,-0.076,1
114,0.005,-0.074,1
115,0.005,-0.072,1
116,0.005,-0.07,1
117,0.005,-0.068,1
118,0.005,-0.066,1
119,0.005,-0.064,1
120,0.005,-0.062,1
121,0.005,-0.06,1
122,0.005,-0.058,1
123,0.005,-0.056,1
124,0.005,-0.054,1
125,0.005,-0.052,1
126,0.005,-0.05,1
127,0.005,-0.048,1
128,0.005,-0.046,1
129,0.005,-0.044,1
130,0.005,-0.042,1
131,0.005,-0.04,1
132,0.005,-0.038,1
133,0.005,-0.036,1
134,0.005,-0.034,1
135,0.005,-0.032,1
136,0.005,-0.03,1
137,0.005,-0.028,1
138,0.005,-0.026,1
139,0.005,-0.024,1
140,0.005,-0.022,1
141,0.005,-0.02,1
142,0.005,-0.018,1
143,0.005,-0.016,1
144,0.005,-0.014,1
145,0.005,-0.012,1
146,0.005,-0.01,1
147,0.005,-0.008,1
148,0.005,-0.006,1
149,0.005,-0.004,1
150,0.005,-0.002,1
151,0.005,0.0,3
152,0.005,0.002,2
153,0.005,0.004,2
154,0.005,0.006,2
155,0.005,0.008,2
156,0.005,0.01,2
157,0.005,0.012,2
158,0.005,0.014,2
159,0.005,0.016,2
160,0.005,0.018,2
161,0.005,0.02,2
162,0.005,0.022,2
163,0.005,0.024,2
164,0.005,0.026,2
165,0.005,0.028,2
166,0.005,0.03,2
167,0.005,0.032,2
168,0.005,0.034,2
169,0.005,0.036,2
170,0.005,0.038,2
171,0.005,0.04,2
172,0.005,0.042,2
173,0.005,0.044,2
174,0.005,0.046,2
175,0.005,0.048,2
176,0.005,0.05,2
177,0.005,0.052,2
178,0.005,0.054,2
179,0.005,0.056,2
180,0.005,0.058,2
181,0.005,0.06,2
182,0.005,0.062,2
183,0.005,0.064,2
184,0.005,0.066,2
185,0.005,0.068,2
186,0.005,0.07,2
187,0.005,0.072,2
188,0.005,0.074,2
189,0.005,0.076,2
190,0.005,0.078,2
191,0.005,0.08,2
192,0.005,0.082,2
193,0.005,0.084,2
194,0.005,0.086,2
195,0.005,0.088,2
196,0.005,0.09,2
197,0.005,0.092,2
198,0.005,0.094,2
199,0.005,0.096,2
200,0.005,0.098,2
201,0.005,0.1,2
202,0.01,-0.1,1
203,0.01,-0.098,1
204,0.01,-0.096,1
205,0.01,-0.094,1
206,0.01,-0.092,1
207,0.01,-0.09,1
208,0.01,-0.088,1
209,0.01,-0.086,1
210,0.01,-0.084,1
211,0.01,-0.082,1
212,0.01,-0.08,1
213,0.01,-0.078,1
214,0.01,-0.076,1
215,0.01,-0.074,1
216,0.01,-0.072,1
217,0.01,-0.07,1
218,0.01,-0.068,1
219,0.01,-0.066,1
220,0.01,-0.064,1
221,0.01,-0.062,1
222,0.01,-0.06,1
223,0.01,-0.058,1
224,0.01,-0.056,1
225,0.01,-0.054,1
226,0.01,-0.052,1
227,0.01,-0.05,1
228,0.01,-0.048,1
229,0.01,-0.046,1
230,0.01,-0.044,1
231,0.01,-0.042,1
232,0.01,-0.04,1
233,0.01,-0.038,1
234,0.01,-0.036,1
235,0.01,-0.034,1
236,0.01,-0.032,1
237,0.01,-0.03,1
238,0.01,-0.028,1
239,0.01,-0.026,1
240,0.01,-0.024,1
241,0.01,-0.022,1
242,0.01,-0.02,1
243,0.01,-0.018,1
244,0.01,-0.016,1
245,0.01,-0.014,1
246,0.01,-0.012,1
247,0.01,-0.01,1
248,0.01,-0.008,1
249,0.01,-0.006,1
250,0.01,-0.004,1
251,0.01,-0.002,1
252,0.01,0.0,3
253,0.01,0.002,2
254,0.01,0.004,2
255,0.01,0.006,2
256,0.01,0.008,2
257,0.01,0.01,2
258,0.01,0.012,2
259,0.01,0.014,2
260,0.01,0.016,2
261,0.01,0.018,2
262,0.01,0.02,2
263,0.01,0.022,2
264,0.01,0.024,2
265,0.01,0.026,2
266,0.01,0.028,2
267,0.01,0.03,2
268,0.01,0.032,2
269,0.01,0.034,2
270,0.01,0.036,2
271,0.01,0.038,2
272,0.01,0.04,2
273,0.01,0.042,2
274,0.01,0.044,2
275,0.01,0.046,2
276,0.01,0.048,2
277,0.01,0.05,2
278,0.01,0.052,2
279,0.01,0.054,2
280,0.01,0.056,2
281,0.01,0.058,2
282,0.01,0.06,2
283,0.01,0.062,2
284,0.01,0.064,2
285,0.01,0.066,2
286,0.01,0.068,2
287,0.01,0.07,2
288,0.01,0.072,2
289,0.01,0.074,2
290,0.01,0.076,2
291,0.01,0.078,2
292,0.01,0.08,2
293,0.01,0.082,2
294,0.01,0.084,2
295,0.01,0.086,2
296,0.01,0.088,2
297,0.01,0.09,2
298,0.01,0.092,2
299,0.01,0.094,2
300,0.01,0.096,2
301,0.01,0.098,2
302,0.01,0.1,2
303,0.015,-0.1,1
304,0.015,-0.098,1
305,0.015,-0.096,1
306,0.015,-0.094,1
307,0.015,-0.092,1
308,0.015,-0.09,1
309,0.015,-0.088,1
310,0.015,-0.086,1
311,0.015,-0.084,1
312,0.015,-0.082,1
313,0.015,-0.08,1
314,0.015,-0.078,1
315,0.015,-0.076,1
316,0.015,-0.074,1
317,0.015,-0.072,1
318,0.015,-0.07,1
319,0.015,-0.068,1
320,0.015,-0.066,1
321,0.015,-0.064,1
322,0.015,-0.062,1
323,0.015,-0.06,1
324,0.015,-0.058,1
325,0.015,-0.056,1
326,0.015,-0.054,1
327,0.015,-0.052,1
328,0.015,-0.05,1
329,0.015,-0.048,1
330,0.015,-0.046,1
331,0.015,-0.044,1
332,0.015,-0.042,1
333,0.015,-0.04,1
334,0.015,-0.038,1
335,0.015,-0.036,1
336,0.015,-0.034,1
337,0.015,-0.032,1
338,0.015,-0.03,1
339,0.015,-0.028,1
340,0.015,-0.026,1
341,0.015,-0.024,1
342,0.015,-0.022,1
343,0.015,-0.02,1
344,0.015,-0.018,1
345,0.015,-0.016,1
346,0.015,-0.014,1
347,0.015,-0.012,1
348,0.015,-0.01,1
349,0.015,-0.008,1
350,0.015,-0.006,1
351,0.015,-0.004,1
352,0.015,-0.002,1
353,0.015,0.0,3
354,0.015,0.002,2
355,0.015,0.004,2
356,0.015,0.006,2
357,0.015,0.008,2
358,0.015,0.01,2
359,0.015,0.012,2
360,0.015,0.014,2
361,0.015,0.016,2
362,0.015,0.018,2
363,0.015,0.02,2
364,0.015,0.022,2
365,0.015,0.024,2
366,0.015,0.026,2
367,0.015,0.028,2
368,0.015,0.03,2
369,0.015,0.032,2
370,0.015,0.034,2
371,0.015,0.036,2
372,0.015,0.038,2
373,0.015,0.04,2
374,0.015,0.042,2
375,0.015,0.044,2
376,0.015,0.046,2
377,0.015,0.048,2
378,0.015,0.05,2
379,0.015,0.052,2
380,0.015,0.054,2
381,0.015,0.056,2
382,0.015,0.058,2
383,0.015,0.06,2
384,0.015,0.062,2
385,0.015,0.064,2
386,0.015,0.066,2
387,0.015,0.068,2
388,0.015,0.07,2
389,0.015,0.072,2
390,0.015,0.074,2
391,0.015,0.076,2
392,0.015,0.078,2
393,0.015,0.08,2
394,0.015,0.082,2
395,0.015,0.084,2
396,0.015,0.086,2
397,0.015,0.088,2
398,0.015,0.09,2
399,0.015,0.092,2
400,0.015,0.094,2
401,0.015,0.096,2
402,0.015,0.098,2
403,0.015,0.1,2
404,0.02,-0.1,1
405,0.02,-0.098,1
406,0.02,-0.096,1
407,0.02,-0.094,1
408,0.02,-0.092,1
409,0.02,-0.09,1
410,0.02,-0.088,1
411,0.02,-0.086,1
412,0.02,-0.084,1
413,0.02,-0.082,1
414,0.02,-0.08,1
415,0.02,-0.078,1
416,0.02,-0.076,1
417,0.02,-0.074,1
418,0.02,-0.072,1
419,0.02,-0.07,1
420,0.02,-0.068,1
421,0.02,-0.066,1
422,0.02,-0.064,1
423,0.02,-0.062,1
424,0.02,-0.06,1
425,0.02,-0.058,1
426,0.02,-0.056,1
427,0.02,-0.054,1
428,0.02,-0.052,1
429,0.02,-0.05,1
430,0.02,-0.048,1
431,0.02,-0.046,1
432,0.02,-0.044,1
433,0.02,-0.042,1
434,0.02,-0.04,1
435,0.02,-0.038,1
436,0.02,-0.036,1
437,0.02,-0.034,1
438,0.02,-0.032,1
439,0.02,-0.03,1
440,0.02,-0.028,1
441,0.02,-0.026,1
442,0.02,-0.024,1
443,0.02,-0.022,1
444,0.02,-0.02,1
445,0.02,-0.018,1
446,0.02,-0.016,1
447,0.02,-0.014,1
