,sub,model,theta,phi,SSE,AIC,BIC
0,152,GR,,,8265.0,356.3679269176283,356.3679269176283
1,152,GA,179.08147854425124,,1246.0,214.56898728864115,216.89972062892747
2,152,GA_ppSOE,179.5325458543127,,1010.0,198.60989248572204,200.94062582600841
3,152,IA,544.9175108897721,,192.0,72.43391441235023,74.76464775263656
4,152,MP,0.02969677273453715,0.07553080299633014,194.0,75.22148622705178,79.88295290762443
5,152,MP_ppSOE,0.02896246297654846,0.04032479337486386,194.0,75.22148622705178,79.88295290762443
0,153,GR,,,8727.0,360.5017141226505,360.5017141226505
1,153,GA,263.5050006955276,,1352.0,220.77412564005996,223.1048589803463
2,153,GA_ppSOE,179.9296634423114,,1464.0,226.8227709218544,229.1535042621407
3,153,IA,733.3412589321907,,353.0,118.71583846516941,121.04657180545573
4,153,MP,0.031300428185047836,0.03896100699533432,353.0,120.71583846516941,125.37730514574206
5,153,MP_ppSOE,0.03170383992275474,0.036483839224962566,353.0,120.71583846516941,125.37730514574206
0,154,GR,,,6579.0,339.02875695677466,339.02875695677466
1,154,GA,149.3236603028293,,638.0,163.69797567244282,166.0287090127292
2,154,GA_ppSOE,125.71999094779005,,991.0,197.16657074731793,199.49730408760425
3,154,IA,229.65217017313128,,551.0,152.55611163386033,154.8868449741467
4,154,MP,0.05372150146637262,0.003727040298676743,441.0,137.63167667219915,142.2931433527718
5,154,MP_ppSOE,0.03032230190982565,0.0004363366845274164,437.0,136.93918896550372,141.60065564607638
0,155,GR,,,8988.0,362.74133426943564,362.74133426943564
1,155,GA,262.24885012970503,,1549.0,231.1119940099209,233.44272735020718
2,155,GA_ppSOE,189.53606001559368,,1019.0,199.2841206631659,201.61485400345225
3,155,IA,576.9403903183259,,1291.0,217.2653678425837,219.59610118287
4,155,MP,0.054348205232503485,0.03252647580405193,1304.0,220.0268385672203,224.6883052477929
5,155,MP_ppSOE,0.059885318324504784,-0.00758433300264092,730.0,175.93565073306405,180.5971174136367
0,156,GR,,,6297.0,335.6992403833833,335.6992403833833
1,156,GA,205.36508240330517,,1007.0,198.38381398484958,200.71454732513592
2,156,GA_ppSOE,125.9171363096888,,615.0,160.90755849153422,163.23829183182056
3,156,IA,186.45462075485312,,613.0,160.6600012693909,162.99073460967728
4,156,MP,0.029915016792718976,0.0037702173395657147,496.0,146.5640365693333,151.22550324990596
5,156,MP_ppSOE,0.20590887692558346,-0.08112493699808715,408.0,131.72057139295512,136.38203807352778
0,157,GR,,,4653.0,312.7045924784321,312.7045924784321
1,157,GA,256.61326104015643,,677.0,168.20728287957175,170.5380162198581
2,157,GA_ppSOE,99.48965275637708,,766.0,177.59411103852383,179.92484437881015
3,157,IA,156.54740117760446,,154.0,55.672663921674655,58.00339726196098
4,157,MP,0.15174827094387766,0.03072668758539923,286.0,104.71964376054764,109.3811104411203
5,157,MP_ppSOE,0.15510114769734798,0.021633958289832226,286.0,104.71964376054764,109.3811104411203
0,158,GR,,,8921.0,362.17267898368635,362.17267898368635
1,158,GA,264.33652363319004,,964.0,195.06720452864033,197.39793786892662
2,158,GA_ppSOE,177.81445925455955,,1054.0,201.8506935499382,204.18142689022454
3,158,IA,4832.259620774765,,66.0,-8.721973467752816,-6.391240127466485
4,158,MP,0.02194864121624579,0.04784601390308951,66.0,-6.721973467752816,-2.060506787180154
5,158,MP_ppSOE,0.02105822185650404,0.07905106613627269,66.0,-6.721973467752816,-2.060506787180154
0,160,GR,,,7004.0,343.7862548370754,343.7862548370754
1,160,GA,1739.4171244295692,,1287.0,217.02952591554447,219.3602592558308
2,160,GA_ppSOE,127.41336034889305,,1121.0,206.53447429172297,208.86520763200932
3,160,IA,378.20712488162536,,88.0,13.141864038582534,15.472597378868866
4,160,MP,0.0791962346497243,0.0900088636814694,100.0,24.85720027333379,29.51866695390645
5,160,MP_ppSOE,0.07951787627737647,0.08436752581409457,100.0,24.85720027333379,29.51866695390645
0,161,GR,,,0.0,-inf,-inf
1,161,GA,8.470292577921166,,32.0,-63.73980524898195,-61.40907190869562
2,161,GA_ppSOE,0.15346202969501732,,0.0,-inf,-inf
3,161,IA,39.71373244660911,,0.0,-inf,-inf
4,161,MP,0.4972792397594831,-0.012984093596384944,0.0,-inf,-inf
5,161,MP_ppSOE,0.4949124293773915,0.08471370159912071,0.0,-inf,-inf
0,162,GR,,,3214.0,284.58490365684565,284.58490365684565
1,162,GA,174.5870170434649,,662.0,166.50444838945145,168.83518172973783
2,162,GA_ppSOE,76.216479038627,,857.0,186.12554795167011,188.4562812919565
3,162,IA,97.1760317163065,,810.0,181.8388689608916,184.169602301178
4,162,MP,0.1499951942764758,-0.045025243461192105,635.0,165.3397660540834,170.0012327346561
5,162,MP_ppSOE,0.3005038482385735,-0.09333403118810864,607.0,161.91245425876068,166.5739209393334
0,163,GR,,,6969.0,343.40551976756626,343.40551976756626
1,163,GA,196.37812522811387,,387.0,125.70454280850224,128.0352761487886
2,163,GA_ppSOE,128.1768460465375,,530.0,149.60291863574756,151.9336519760339
3,163,IA,316.3999510464929,,345.0,116.97364183262218,119.30437517290852
4,163,MP,0.030664175273812714,0.0033496642740395433,271.0,100.62529652509609,105.28676320566878
5,163,MP_ppSOE,0.055324766605662816,0.004000542531422653,176.0,67.82104976113837,72.48251644171104
0,164,GR,,,10840.0,376.9801350377553,376.9801350377553
1,164,GA,237.61998050083028,,1606.0,233.85841012074854,236.1891434610349
2,164,GA_ppSOE,233.17847855318908,,1613.0,234.1889480757547,236.51968141604104
3,164,IA,987.0073367977617,,1555.0,231.40580880885227,233.73654214913861
4,164,MP,0.02855574553855713,0.0032578987845799795,1505.0,230.92192760414505,235.58339428471768
5,164,MP_ppSOE,0.13685918149880202,-0.05681180271108367,1514.0,231.37505912204082,236.03652580261345
0,165,GR,,,6750.0,340.97889771209856,340.97889771209856
1,165,GA,153.55889100354358,,468.0,140.14785662798,142.4785899682663
2,165,GA_ppSOE,127.65827825789913,,385.0,125.31075954411043,127.64149288439677
3,165,IA,314.07766498074625,,628.0,162.49731878982192,164.82805213010823
4,165,MP,0.19672010249862584,-0.07095403474647641,410.0,132.0922102753137,136.75367695588636
5,165,MP_ppSOE,0.1974347427990168,-0.08030798895877625,325.0,114.43497999529887,119.09644667587156
0,166,GR,,,3847.0,298.24798274741335,298.24798274741335
1,166,GA,249.68842938770985,,547.0,152.0023751223094,154.33310846259576
2,166,GA_ppSOE,98.3206818422264,,978.0,196.16300106088497,198.4937344011713
3,166,IA,109.34550915789292,,236.0,88.1154833201852,90.44621666047152
4,166,MP,0.1845682616424608,0.02737220065898299,278.0,102.56347077872726,107.22493745929992
5,166,MP_ppSOE,0.18700287643417934,0.021019823215567682,239.0,91.07549608503365,95.73696276560631
0,167,GR,,,7443.0,348.40649083759206,348.40649083759206
1,167,GA,178.2052878773061,,665.0,166.84808122808374,169.17881456837014
2,167,GA_ppSOE,179.3069213117408,,1178.0,210.30384181831528,212.63457515860162
3,167,IA,367.7619021973071,,87.0,12.273283155987194,14.604016496273525
4,167,MP,0.06960940712846801,0.054364408554681325,43.0,-39.284525069050424,-34.62305838847776
5,167,MP_ppSOE,0.06302287395394654,0.0859593163865224,43.0,-39.284525069050424,-34.62305838847776
0,168,GR,,,3695.0,295.1841894752938,295.1841894752938
1,168,GA,83.87510739897644,,1620.0,234.51805468344745,236.84878802373382
2,168,GA_ppSOE,68.45950482831779,,1587.0,232.95392089824588,235.28465423853226
3,168,IA,93.13838284064705,,1521.0,229.72563634994512,232.05636969023143
4,168,MP,0.29899595380095506,-0.09955303845639063,1527.0,232.02484933485488,236.6863160154276
5,168,MP_ppSOE,0.31326872983425186,-0.09848237862493074,1348.0,222.54894029013,227.2104069707027
0,169,GR,,,2288.0,258.7572009282152,258.7572009282152
1,169,GA,85.41710876865953,,324.0,112.20077333845587,114.5315066787422
2,169,GA_ppSOE,76.2284041105606,,807.0,181.5568649267549,183.88759826704128
3,169,IA,79.28824162301831,,260.0,95.47607009541893,97.80680343570526
4,169,MP,0.27383699326706457,0.030949677978408325,456.0,140.17371966133214,144.83518634190486
5,169,MP_ppSOE,0.32440656182249217,-0.09015602701853892,259.0,97.18319882740371,101.84466550797636
0,170,GR,,,2574.0,267.70871163810034,267.70871163810034
1,170,GA,84.11454935907281,,229.0,85.82713840836104,88.15787174864737
2,170,GA_ppSOE,76.63873599988447,,535.0,150.31653890233534,152.64727224262168
3,170,IA,93.23586385729945,,284.0,102.18630823849051,104.51704157877684
4,170,MP,0.2734143834648527,-0.09855098284580156,333.0,116.28309537675258,120.94456205732523
5,170,MP_ppSOE,0.31193580806350424,-0.08864235116226564,171.0,65.63069643244097,70.29216311301364
0,171,GR,,,10644.0,375.5933901776549,375.5933901776549
1,171,GA,238.81806806143413,,761.0,177.09640133572697,179.4271346760133
2,171,GA_ppSOE,228.6259015502445,,761.0,177.09640133572697,179.4271346760133
3,171,IA,2660.300879644405,,401.0,128.4053346135381,130.73606795382443
4,171,MP,0.00905752680445763,0.016649221295780253,398.0,129.83461853985608,134.49608522042877
5,171,MP_ppSOE,0.021204621904481368,0.014502501793257853,398.0,129.83461853985608,134.49608522042877
0,172,GR,,,3937.0,300.00551224996286,300.00551224996286
1,172,GA,59.61113263744747,,1326.0,219.29835111492022,221.6290844552066
2,172,GA_ppSOE,99.16129227267862,,766.0,177.59411103852383,179.92484437881015
3,172,IA,110.5334449526192,,112.0,31.47018035666602,33.80091369695235
4,172,MP,0.18720298446754327,0.044449989328050346,216.0,83.38542512223538,88.04689180280803
5,172,MP_ppSOE,0.2743286226687318,-0.07710103012811848,202.0,78.29261114073041,82.95407782130306
