,sub,trial,inv,mult,belMult,ret,exp
1,152,1,1,4,2,0.0,0.0
2,152,2,4,4,4,5.0,5.0
3,152,3,2,4,2,0.0,0.0
4,152,4,10,4,2,10.0,10.0
5,152,5,6,4,2,8.0,4.0
6,152,6,4,4,4,6.0,5.0
7,152,7,10,4,6,20.0,30.0
8,152,8,4,4,4,6.0,5.0
9,152,9,6,4,4,13.0,0.0
10,152,10,8,4,4,15.0,15.0
11,152,11,5,4,4,7.0,8.0
12,152,12,5,4,6,10.0,13.0
13,152,13,10,4,6,19.0,30.0
14,152,14,10,4,6,20.0,30.0
15,152,15,8,4,2,15.0,7.0
16,152,16,10,4,4,20.0,20.0
17,152,17,5,4,4,7.0,8.0
18,152,18,5,4,6,7.0,13.0
19,152,19,5,4,2,7.0,3.0
20,152,20,9,4,2,13.0,9.0
21,152,21,7,4,4,12.0,15.0
22,152,22,9,4,4,14.0,18.0
23,152,23,3,4,6,3.0,6.0
24,152,24,4,4,2,5.0,1.0
25,152,25,6,4,4,8.0,0.0
26,152,26,4,4,6,5.0,9.0
27,152,27,6,4,6,9.0,16.0
28,152,28,4,4,6,5.0,9.0
29,152,29,6,4,4,12.0,0.0
30,152,30,2,4,2,0.0,0.0
31,152,31,9,4,4,17.0,18.0
32,152,32,9,4,4,17.0,18.0
33,152,33,5,4,6,7.0,13.0
34,152,34,5,4,2,7.0,3.0
35,152,35,8,4,4,12.0,15.0
36,152,36,3,4,2,2.0,0.0
37,152,37,10,4,2,20.0,10.0
39,152,39,5,4,4,7.0,8.0
41,152,41,3,4,4,3.0,3.0
42,152,42,5,4,4,7.0,8.0
43,152,43,4,4,2,5.0,1.0
44,152,44,5,4,2,7.0,3.0
45,152,45,1,4,4,0.0,0.0
46,152,46,2,4,6,0.0,2.0
47,152,47,6,4,2,9.0,4.0
48,152,48,4,4,4,4.0,5.0
49,152,49,3,4,2,2.0,0.0
50,152,50,7,4,4,12.0,15.0
51,152,51,5,4,4,7.0,8.0
52,152,52,1,4,4,0.0,0.0
53,152,53,2,4,4,0.0,0.0
54,152,54,5,4,4,7.0,8.0
55,152,55,10,4,4,20.0,20.0
57,152,57,5,4,2,7.0,3.0
58,152,58,8,4,4,15.0,15.0
59,152,59,6,4,6,10.0,16.0
60,152,60,2,4,4,0.0,0.0
61,152,61,10,4,4,20.0,20.0
62,152,62,9,4,6,17.0,27.0
63,152,63,7,4,2,17.0,6.0
64,152,64,10,4,4,20.0,20.0
65,152,65,6,4,2,10.0,4.0
66,152,66,5,4,4,7.0,8.0
67,152,67,6,4,4,10.0,0.0
68,152,68,3,4,4,5.0,3.0
69,152,69,3,4,6,2.0,6.0
70,152,70,5,4,6,7.0,13.0
71,152,71,5,4,4,7.0,8.0
73,152,73,2,4,4,0.0,0.0
74,152,74,2,4,4,0.0,0.0
75,152,75,3,4,4,2.0,3.0
76,152,76,8,4,6,15.0,23.0
77,152,77,4,4,6,4.0,9.0
78,152,78,3,4,4,2.0,3.0
79,152,79,7,4,6,11.0,20.0
80,152,80,1,4,6,0.0,0.0
81,153,1,9,4,6,16.0,25.0
82,153,2,9,4,4,20.0,12.0
83,153,3,3,4,2,6.0,4.0
84,153,4,2,4,4,2.0,2.0
85,153,5,7,4,6,16.0,21.0
86,153,6,8,4,4,15.0,10.0
87,153,7,5,4,4,12.0,8.0
88,153,8,3,4,2,3.0,4.0
89,153,9,9,4,4,27.0,12.0
90,153,10,1,4,6,2.0,2.0
91,153,11,1,4,4,0.0,2.0
92,153,12,2,4,4,0.0,2.0
93,153,13,7,4,4,11.0,11.0
94,153,14,5,4,2,8.0,6.0
95,153,15,9,4,2,13.0,10.0
