,record,IA,GA,GR,Altruism,MoralOpport,Reciprocity,ReturnInv,sum,normalized
1,110002.0,43.75,25.0,25.0,6.25,0.0,0.0,0.0,100.0,
2,110003.0,95.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0
3,110004.0,50.0,20.0,20.0,10.0,0.0,0.0,0.0,100.0,0.0
4,110005.0,75.0,0.0,15.0,10.0,0.0,0.0,0.0,100.0,0.0
5,110006.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
6,110007.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,1.0
7,110008.0,26.31578947368421,5.263157894736842,63.1578947368421,5.263157894736842,0.0,0.0,0.0,100.0,
8,110009.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
9,110010.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0
10,110011.0,60.0,0.0,10.0,30.0,0.0,0.0,0.0,100.0,0.0
11,110012.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
12,110013.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0
13,110014.0,45.0,35.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0
14,110015.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,100.0,0.0
15,110016.0,35.0,30.0,20.0,15.0,0.0,0.0,0.0,100.0,0.0
16,110017.0,5.0,35.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0
17,110018.0,40.0,10.0,0.0,30.0,0.0,20.0,0.0,100.00000000000001,1.0
18,110019.0,11.538461538461538,11.538461538461538,76.92307692307693,0.0,0.0,0.0,0.0,100.0,
19,110020.0,15.0,10.0,70.0,5.0,0.0,0.0,0.0,100.0,0.0
20,110021.0,10.0,45.0,45.0,0.0,0.0,0.0,0.0,100.0,0.0
21,110022.0,65.0,15.0,5.0,15.0,0.0,0.0,0.0,100.0,1.0
22,110023.0,19.047619047619047,9.523809523809524,71.42857142857143,0.0,0.0,0.0,0.0,100.0,
23,110024.0,65.0,25.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0
24,110025.0,35.0,10.0,35.0,20.0,0.0,0.0,0.0,100.0,0.0
25,110026.0,40.0,35.0,15.0,10.0,0.0,0.0,0.0,100.0,0.0
26,110027.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
27,110028.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0
28,110029.0,65.0,30.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0
29,110030.0,25.0,20.0,30.0,25.0,0.0,0.0,0.0,100.0,0.0
30,110031.0,10.0,5.0,25.0,20.0,0.0,0.0,40.0,100.0,0.0
31,110032.0,90.0,0.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0
32,110033.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
33,110034.0,15.0,70.0,15.0,0.0,0.0,0.0,0.0,100.0,0.0
34,110035.0,5.0,0.0,25.0,0.0,0.0,0.0,70.0,100.0,0.0
35,110036.0,30.0,50.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0
36,110037.0,30.0,10.0,30.0,30.0,0.0,0.0,0.0,100.0,0.0
37,110038.0,30.0,20.0,25.0,25.0,0.0,0.0,0.0,100.0,0.0
38,110039.0,50.0,20.0,15.0,15.0,0.0,0.0,0.0,100.0,0.0
39,110040.0,45.0,30.0,10.0,15.0,0.0,0.0,0.0,100.0,0.0
40,110041.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
41,110042.0,80.0,10.0,10.0,0.0,0.0,0.0,0.0,100.00000000000001,1.0
42,110043.0,4.166666666666667,0.0,8.333333333333334,4.166666666666667,83.33333333333334,0.0,0.0,100.0,
43,110044.0,0.0,20.0,60.0,0.0,20.0,0.0,0.0,100.0,0.0
44,110045.0,60.0,10.0,25.0,5.0,0.0,0.0,0.0,100.0,0.0
45,110046.0,80.0,15.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0
46,110047.0,20.0,50.0,30.0,0.0,0.0,0.0,0.0,100.0,0.0
47,110048.0,35.0,5.0,40.0,20.0,0.0,0.0,0.0,100.0,0.0
48,110049.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0
49,110050.0,35.0,10.0,50.0,5.0,0.0,0.0,0.0,100.0,0.0
50,110051.0,40.0,40.0,15.0,5.0,0.0,0.0,0.0,100.0,0.0
51,110052.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
52,110053.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0
53,110054.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0
54,110055.0,42.10526315789473,26.31578947368421,21.052631578947366,10.526315789473683,0.0,0.0,0.0,100.0,
55,110056.0,40.0,35.0,5.0,20.0,0.0,0.0,0.0,100.0,1.0
56,110057.0,32.72727272727273,56.36363636363637,9.090909090909092,1.8181818181818183,0.0,0.0,0.0,100.0,
57,110058.0,10.0,10.0,50.0,0.0,0.0,30.0,0.0,100.0,0.0
58,110059.0,15.0,30.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0
0,,,,,,,,,100.0,1.0
